FULLNAME,2014,2016,2017,2018,2019,2021,2020,2015,2022,2023,LEN_FT
10th St,3,1,1,2,4,1,NA,NA,NA,NA,1366.0779212984912
11th Ave,1,NA,1,1,NA,NA,3,NA,NA,NA,176.3089348967121
11th St,50,45,43,38,42,30,38,59,27,6,2859.1703587883367
12th St,1,1,NA,NA,NA,NA,1,NA,1,NA,1027.2122841514665
13th St,6,11,14,22,18,14,6,12,9,2,2202.404911529598
15th St,5,2,4,3,11,8,4,2,5,2,2089.671991792491
16th St,NA,5,4,1,4,1,4,3,3,NA,317.6790866464298
17th St,2,1,2,1,NA,NA,1,5,NA,NA,991.0971306882609
18th St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,296.67829357490604
19th St,2,NA,NA,NA,NA,1,NA,NA,NA,NA,991.2799524041229
1st St,NA,2,5,2,2,2,1,NA,6,NA,1868.781654043272
21st St,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,176.8186133046283
24th St,1,NA,1,NA,NA,NA,NA,NA,NA,NA,324.88676673281503
2nd St,NA,NA,2,1,1,NA,NA,NA,NA,NA,233.59056082875554
3rd Ave W,1,3,1,1,1,NA,NA,NA,NA,NA,834.1841292781578
4th St,5,3,3,3,NA,1,4,2,2,NA,1878.4136982027385
5th St,3,3,3,1,5,3,1,5,1,NA,2237.5707834520754
6th St,28,24,18,28,23,14,13,49,13,1,3423.6767396437576
7th St,3,2,1,1,1,4,1,3,NA,1,1621.7236885561122
8th St,3,2,1,1,2,NA,NA,1,NA,NA,1812.626180331677
9th St,1,NA,2,3,NA,1,NA,2,2,NA,2263.0038442138825
Adele Ave,3,2,4,11,11,9,6,5,2,1,406.3691452466137
Almira Dr,3,1,NA,NA,NA,NA,NA,3,NA,NA,1526.1536220675837
Anderson Hill Rd SW,NA,NA,1,1,1,1,1,NA,NA,NA,2383.770642672108
Anoka Ave,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,241.97847636350178
Arsenal Way,2,2,1,1,NA,NA,2,NA,NA,NA,1054.1562077672118
Ash St,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,378.4800133887407
Austin Dr,3,5,8,4,6,5,3,8,4,1,2251.0190702699756
Auto Center Blvd,2,1,NA,NA,1,NA,NA,2,NA,NA,827.2959329633638
Auto Center Way,10,8,7,16,9,7,9,11,7,NA,1596.3193527266342
Bay Vista Blvd,1,NA,1,NA,2,NA,NA,1,1,NA,743.3705912460102
Bayview Dr,NA,1,NA,NA,NA,NA,NA,NA,1,NA,383.5675230325861
Bayview Dr W,NA,1,NA,NA,NA,NA,NA,NA,1,NA,383.5675230325861
Beach Dr,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,243.9182792089169
Bertha Ave,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1230.4610711774053
Bledsoe Ave,NA,NA,NA,1,1,NA,NA,NA,NA,NA,189.3527451820126
Bloomington Ave,NA,1,1,1,NA,2,2,NA,1,NA,816.9601557921444
Bremerton National Airport,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,228.2353498652591
Bremerton National Exd,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,228.2353498652591
Broadway Ave,NA,NA,NA,NA,1,NA,NA,1,NA,NA,790.8729175014969
Bruen Ave,3,6,4,9,9,3,7,3,4,NA,456.55019363291274
Bruenn Ave,3,6,4,9,9,3,7,3,4,NA,456.55019363291274
Bryan Ave,NA,1,NA,1,NA,NA,NA,3,NA,NA,199.93019968157546
Burwell St,28,49,70,77,57,48,37,31,53,4,2989.663657410825
Callahan Dr,4,2,7,10,7,6,9,9,6,2,1699.6463403747866
Callow Ave N,27,27,18,22,22,9,20,44,9,3,2018.9784483393373
Callow Ave S,1,1,1,1,NA,NA,2,NA,NA,NA,524.9854421478813
Cambrian Ave,1,NA,NA,NA,NA,NA,NA,3,NA,NA,808.2957867516403
Cambrian Ave N,NA,NA,NA,1,NA,NA,NA,1,NA,NA,700.9957551580519
Cambrian Ave S,2,1,3,2,2,NA,NA,1,2,NA,520.2733490414636
Capstone Ave,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,151.43303715661995
Cascade Trl,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,712.0155077284503
Cascade Vw,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,240.0480500462549
Charleston Ave S,1,2,2,2,3,2,3,5,2,2,462.26196269505687
Charleston Blvd,7,3,3,1,4,5,NA,3,1,NA,724.5114350242222
Cherry Ave,5,4,NA,1,NA,NA,NA,10,NA,NA,1088.7545851752648
Chester Ave,4,8,11,8,5,4,2,6,3,1,1549.4044599353974
Clare Ave,NA,NA,NA,1,NA,NA,1,1,NA,1,674.7801163034369
Cogean Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.55753191023837
Constitution Ave S,NA,2,1,1,NA,NA,NA,NA,NA,NA,552.4938451653676
Coontz St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.6997505240616
Corbet Dr NW,1,NA,1,NA,NA,1,NA,1,1,NA,863.6002625087938
Dibb St,1,NA,1,1,1,2,NA,2,1,2,402.10699550033826
Dr Ml King Way,3,2,NA,1,NA,2,1,3,NA,1,200.99169307669024
E 10th St,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,579.4943291308673
E 11th St,2,2,1,5,5,2,NA,1,NA,NA,628.4949666408758
E 13th St,NA,NA,1,NA,1,1,1,1,NA,NA,648.4282283101496
E 15th St,NA,1,NA,NA,1,NA,NA,NA,NA,NA,241.11641857926213
E 16th St,NA,2,NA,NA,1,1,2,1,3,NA,860.5211219248835
E 17th St,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,564.0888897013822
E 18th St,NA,NA,NA,1,1,NA,NA,NA,NA,NA,742.2623896919525
E 29th St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,403.52847510674
E 31st St,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,921.9556679358467
E 32nd St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.07746399131634
E 33rd St,NA,NA,NA,2,NA,1,NA,NA,NA,1,670.127021961126
E Broad St,1,2,1,3,5,5,3,1,NA,NA,307.34583554509317
E Highlands St,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.76865684523585
E Hope St,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,201.64743229918227
E Phinney Bay Dr,NA,1,1,NA,NA,NA,NA,NA,NA,NA,948.367174510321
Eastmark Ave,1,NA,NA,NA,NA,NA,NA,NA,1,NA,42.39147919475971
Elizabeth Ave,3,NA,4,4,NA,NA,NA,1,NA,NA,737.4117325357433
Elm St,3,NA,NA,1,1,1,NA,4,NA,NA,366.1311862295168
Farragut Ave,2,3,2,1,2,2,NA,NA,1,NA,2364.067344059269
Farragut St,2,2,1,4,6,NA,5,1,1,NA,437.3533400459017
Ford Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080.6285467768216
Forrest Ave,1,NA,NA,NA,NA,NA,NA,1,NA,NA,336.12562943337923
Galyan Dr,1,NA,NA,NA,NA,NA,NA,NA,1,NA,321.4968291121483
Gregory Way,1,1,1,NA,NA,1,1,1,1,NA,800.1386184109654
H St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,123.98857172939555
Halverson Ave,1,1,NA,NA,NA,NA,NA,2,1,NA,815.1450118718583
Hanford Ave,1,NA,1,NA,NA,NA,NA,NA,1,NA,594.1787565025238
Harkins St,NA,NA,NA,NA,NA,NA,1,NA,2,NA,77.4222984012982
Harlow Dr,NA,1,NA,NA,1,3,1,3,2,NA,2559.1782853119907
Harry Earl Rd,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,744.3855048831045
Hayward Ave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.5654909012874
Hefner Ave,1,NA,1,NA,NA,NA,NA,1,NA,NA,402.8323931680025
Hefner St,1,NA,1,NA,NA,NA,NA,1,NA,NA,402.8323931680025
Hewitt Ave,4,4,1,4,4,1,NA,6,3,NA,1015.7754563396558
Higbee Rd,NA,NA,2,NA,NA,NA,NA,1,NA,NA,663.4936798565477
High Ave,2,3,2,3,3,3,5,3,1,NA,1505.847362495822
Highland Ave,NA,3,NA,NA,3,1,NA,2,NA,NA,699.7420596109547
Hollis St,NA,NA,1,1,NA,NA,NA,NA,NA,NA,401.13487741672867
Holman St,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,504.5640780650357
Homer Jones Rd,NA,NA,1,NA,1,NA,NA,NA,NA,NA,398.7824604832925
Homer R Jones Dr,NA,NA,1,NA,1,NA,NA,NA,NA,NA,398.7824604832925
Imperial Way,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,228.2353498652591
Imperial Way SW,NA,NA,NA,1,1,NA,NA,3,NA,NA,857.465448735375
Ironsides Ave,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,821.8926283851542
Ivy Rd,1,1,NA,NA,NA,1,NA,NA,NA,NA,609.5101812699032
Jacobsen Blvd,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1212.3410873949838
Jacobson Blvd,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1020.1830566631618
Jenner Ave,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,151.26537022290364
Jones St,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,153.47194963181437
Jones St W,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,153.47194963181437
Juniper St,1,NA,1,NA,NA,1,NA,1,NA,NA,568.6307341042746
