Colli_Rpt_Num_Colli_Rpt_Num,hitrun,colli_dt,obj_struck,ped,cyclist,cite_simple,type,pedtype,year,hour,tod,cite_for_dui,cite_for_homicide,cite_for_speed,PLACE
2601586,FALSE,6/23/2019 6:00:00 PM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2019,18,night 1800-0559,FALSE,FALSE,FALSE,Kingston UGA
2626026,FALSE,4/20/2015 8:12:00 AM,NA,FALSE,FALSE,DUI,Car Only,NA,2015,8,day 0600-1759,TRUE,FALSE,FALSE,City of Port Orchard
2626028,FALSE,4/20/2015 12:00:00 PM,NA,FALSE,TRUE,"FAIL TO YIELD, FAIL TO YIELD",Includes Ped or Cyclist,Includes Cyclist,2015,12,day 0600-1759,FALSE,FALSE,FALSE,City of Port Orchard
2626256,FALSE,5/2/2014 9:48:00 PM,NA,FALSE,FALSE,FAIL TO YIELD,Car Only,NA,2014,21,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626258,TRUE,5/24/2014 10:49:00 PM,NA,FALSE,FALSE,,Car Only,NA,2014,22,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626260,FALSE,4/24/2015 1:44:00 AM,NA,TRUE,FALSE,,Includes Ped or Cyclist,Includes Ped,2015,1,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626261,FALSE,5/21/2015 10:23:00 PM,NA,FALSE,FALSE,,Car Only,NA,2015,22,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626262,FALSE,11/23/2015 5:50:00 AM,NA,FALSE,FALSE,SPEED/TOO FAST,Car Only,NA,2015,5,night 1800-0559,FALSE,FALSE,TRUE,City of Port Orchard
2626277,FALSE,12/23/2017 10:21:00 PM,NA,FALSE,FALSE,DUI,Car Only,NA,2017,22,night 1800-0559,TRUE,FALSE,FALSE,City of Port Orchard
2626301,FALSE,2/8/2014 1:16:00 AM,NA,FALSE,FALSE,,Car Only,NA,2014,1,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626327,FALSE,6/27/2014 2:17:00 AM,NA,FALSE,FALSE,,Car Only,NA,2014,2,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626328,TRUE,11/2/2014 1:23:00 AM,NA,FALSE,FALSE,,Car Only,NA,2014,1,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626330,FALSE,4/17/2016 9:30:00 PM,NA,FALSE,FALSE,,Car Only,NA,2016,21,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626331,FALSE,10/3/2016 1:03:00 AM,UTILITY POLE,FALSE,FALSE,,Car Only,NA,2016,1,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626332,FALSE,10/5/2016 12:45:00 AM,EMBANKMENT,FALSE,FALSE,,Car Only,NA,2016,0,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626333,FALSE,12/26/2016 2:56:00 AM,NA,FALSE,FALSE,,Car Only,NA,2016,2,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
2626334,FALSE,3/27/2017 9:17:00 PM,NA,FALSE,FALSE,,Car Only,NA,2017,21,night 1800-0559,FALSE,FALSE,FALSE,City of Port Orchard
