STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,pop20,year,n,hitrun,ped,cyclist,cite_for_dui,cite_for_speed,n_perk
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2014,46,2,0,0,2,0,10.402532790592494
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2015,68,9,0,0,6,4,15.377657168701946
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2016,59,7,1,0,0,6,13.342379014020805
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2017,57,7,0,0,4,8,12.89009497964722
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2018,52,5,0,0,2,3,11.759384893713253
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2019,60,5,0,0,2,3,13.568521031207599
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2020,68,7,2,0,1,7,15.377657168701946
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2021,58,7,2,1,3,5,13.116236996834013
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,NA,NA,NA,A,680976231,61568965,+46.2946377,-123.4244583,4422,2022,42,3,0,0,1,3,9.49796472184532
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2014,1343,144,20,12,69,133,16.34834264568041
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2015,1558,178,15,12,91,131,18.965538229315026
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2016,1407,169,15,6,62,103,17.127414819413506
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2017,1500,216,16,6,75,94,18.259504071869408
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2018,1565,197,31,6,76,131,19.050749248317082
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2019,1540,197,17,5,76,117,18.746424180452593
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2020,1363,198,21,8,78,113,16.591802699972003
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2021,1671,250,12,10,86,137,20.34108753606252
53,041,01531927,53041,Lewis,Lewis County,06,H1,G4020,500,16500,NA,A,6223175362,86929744,+46.5800714,-122.3774443,82149,2022,1621,212,24,12,85,104,19.73243740033354
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2014,365,16,7,5,11,42,11.068320344482519
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2015,471,39,10,13,23,53,14.282681869181552
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2016,368,29,7,5,20,44,11.159292840464568
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2017,452,30,7,2,27,46,13.706522727961914
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2018,513,35,6,9,29,37,15.556296812930226
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2019,431,32,3,7,37,32,13.069715256087578
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2020,359,13,5,2,18,35,10.886375352518423
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2021,366,21,5,4,24,42,11.09864450980987
53,031,01531936,53031,Jefferson,Jefferson County,06,H1,G4020,NA,NA,NA,A,4671633827,994992501,+47.8057075,-123.5270572,32977,2022,435,31,5,8,18,37,13.191011917396976
